Date,Station Id,Station Name,Elevation (ft),Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Air Temperature Average (degF),Air Temperature Maximum (degF),Air Temperature Minimum (degF)
Oct-94,907,Agua Canyon,8900,0,0,,,,
Nov-94,907,Agua Canyon,8900,2,0,,,,
Dec-94,907,Agua Canyon,8900,4.8,2.3,,,,
Jan-95,907,Agua Canyon,8900,7.5,4.7,,,,
Feb-95,907,Agua Canyon,8900,13.1,10.5,,,,
Mar-95,907,Agua Canyon,8900,16.1,12.5,,,,
Apr-95,907,Agua Canyon,8900,21.2,15.5,,,,
May-95,907,Agua Canyon,8900,23.9,5.8,,,,
Jun-95,907,Agua Canyon,8900,25.8,0,,,,
Jul-95,907,Agua Canyon,8900,27,0,,,,
Aug-95,907,Agua Canyon,8900,27,0,,,,
Sep-95,907,Agua Canyon,8900,27.2,0,,,,
Oct-95,907,Agua Canyon,8900,0,0,,,,
Nov-95,907,Agua Canyon,8900,0.1,0,,,,
Dec-95,907,Agua Canyon,8900,0.1,0,,,,
Jan-96,907,Agua Canyon,8900,1.7,0.9,,,,
Feb-96,907,Agua Canyon,8900,3.3,2.8,,,,
Mar-96,907,Agua Canyon,8900,7,5.2,,,,
Apr-96,907,Agua Canyon,8900,8.4,2.4,,,,
May-96,907,Agua Canyon,8900,9.3,0,,,,
Jun-96,907,Agua Canyon,8900,10,0,,,,
Jul-96,907,Agua Canyon,8900,10,0,,,,
Aug-96,907,Agua Canyon,8900,12.8,0,,,,
Sep-96,907,Agua Canyon,8900,16.3,0,,,,
Oct-96,907,Agua Canyon,8900,0,0,,,,
Nov-96,907,Agua Canyon,8900,3,1.8,,,,
Dec-96,907,Agua Canyon,8900,5.6,0.3,,,,
Jan-97,907,Agua Canyon,8900,8.3,3.4,,,,
Feb-97,907,Agua Canyon,8900,12.9,7.3,,,,
Mar-97,907,Agua Canyon,8900,14.2,8.5,,,,
Apr-97,907,Agua Canyon,8900,14.5,2,,,,
May-97,907,Agua Canyon,8900,17.5,0,,,,
Jun-97,907,Agua Canyon,8900,18.4,0,,,,
Jul-97,907,Agua Canyon,8900,20.5,0,,,,
Aug-97,907,Agua Canyon,8900,22,0,,,,
Sep-97,907,Agua Canyon,8900,28.1,0,,,,
Oct-97,907,Agua Canyon,8900,0,0,,,,
Nov-97,907,Agua Canyon,8900,1,0,,,,
Dec-97,907,Agua Canyon,8900,2.4,0.5,,,,
Jan-98,907,Agua Canyon,8900,4.2,2.4,,,,
Feb-98,907,Agua Canyon,8900,5.8,4.2,,,,
Mar-98,907,Agua Canyon,8900,9.8,8.3,,,,
Apr-98,907,Agua Canyon,8900,13.4,9.5,,,,
May-98,907,Agua Canyon,8900,15.8,4,,,,
Jun-98,907,Agua Canyon,8900,16.3,0,,,,
Jul-98,907,Agua Canyon,8900,17.7,0,,,,
Aug-98,907,Agua Canyon,8900,22.4,0,,,,
Sep-98,907,Agua Canyon,8900,25.5,0,,,,
Oct-98,907,Agua Canyon,8900,0,0,0,,,
Nov-98,907,Agua Canyon,8900,4.2,0.2,1,,,
Dec-98,907,Agua Canyon,8900,6.5,1.8,5,,,
Jan-99,907,Agua Canyon,8900,8.3,3.4,12,,,
Feb-99,907,Agua Canyon,8900,9.2,4.4,14,,,
Mar-99,907,Agua Canyon,8900,10.8,5.2,15,,,
Apr-99,907,Agua Canyon,8900,11,0,2,,,
May-99,907,Agua Canyon,8900,15.4,0,4,,,
Jun-99,907,Agua Canyon,8900,16.6,0,0,,,
Jul-99,907,Agua Canyon,8900,18.5,0,,,,
Aug-99,907,Agua Canyon,8900,21,0,0,,,
Sep-99,907,Agua Canyon,8900,24.8,0,0,,,
Oct-99,907,Agua Canyon,8900,0,0,0,,,
Nov-99,907,Agua Canyon,8900,0.4,0,0,,,
Dec-99,907,Agua Canyon,8900,0.9,0,0,,,
Jan-00,907,Agua Canyon,8900,1.9,0.1,1,,,
Feb-00,907,Agua Canyon,8900,2.5,0.4,1,,,
Mar-00,907,Agua Canyon,8900,7.3,4.8,20,,,
Apr-00,907,Agua Canyon,8900,10.7,6.2,17,,,
May-00,907,Agua Canyon,8900,11.1,0,0,,,
Jun-00,907,Agua Canyon,8900,11.4,0,0,,,
Jul-00,907,Agua Canyon,8900,12.2,0,0,,,
Aug-00,907,Agua Canyon,8900,12.6,0,0,,,
Sep-00,907,Agua Canyon,8900,14.9,0,0,,,
Oct-00,907,Agua Canyon,8900,0,0,0,,,
Nov-00,907,Agua Canyon,8900,6.9,2.1,12,,,
Dec-00,907,Agua Canyon,8900,7.7,2.3,9,,,
