,Date,Station Id,Station Name,Elevation (ft),Precipitation Accumulation (in) Start of Month Values,Precipitation Increment (in),Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Air Temperature Average (degF),Air Temperature Maximum (degF),Air Temperature Minimum (degF),year,month,Longitude,Latitude
0,Oct-94,907,Agua Canyon,8900,0.0,2.0,0.0,,,,,1994,Oct,112.26666666666667,37.516666666666666
1,Nov-94,907,Agua Canyon,8900,2.0,2.8,0.0,,,,,1994,Nov,112.26666666666667,37.516666666666666
2,Dec-94,907,Agua Canyon,8900,4.8,2.7,2.3,,,,,1994,Dec,112.26666666666667,37.516666666666666
3,Jan-95,907,Agua Canyon,8900,7.5,5.6,4.7,,,,,1995,Jan,112.26666666666667,37.516666666666666
4,Feb-95,907,Agua Canyon,8900,13.1,3.0,10.5,,,,,1995,Feb,112.26666666666667,37.516666666666666
5,Mar-95,907,Agua Canyon,8900,16.1,5.1,12.5,,,,,1995,Mar,112.26666666666667,37.516666666666666
6,Apr-95,907,Agua Canyon,8900,21.2,2.7,15.5,,,,,1995,Apr,112.26666666666667,37.516666666666666
7,May-95,907,Agua Canyon,8900,23.9,1.9,5.8,,,,,1995,May,112.26666666666667,37.516666666666666
8,Jun-95,907,Agua Canyon,8900,25.8,1.2,0.0,,,,,1995,Jun,112.26666666666667,37.516666666666666
9,Jul-95,907,Agua Canyon,8900,27.0,0.0,0.0,,,,,1995,Jul,112.26666666666667,37.516666666666666
10,Aug-95,907,Agua Canyon,8900,27.0,0.2,0.0,,,,,1995,Aug,112.26666666666667,37.516666666666666
11,Sep-95,907,Agua Canyon,8900,27.2,1.1,0.0,,,,,1995,Sep,112.26666666666667,37.516666666666666
12,Oct-95,907,Agua Canyon,8900,0.0,0.1,0.0,,,,,1995,Oct,112.26666666666667,37.516666666666666
13,Nov-95,907,Agua Canyon,8900,0.1,0.0,0.0,,,,,1995,Nov,112.26666666666667,37.516666666666666
14,Dec-95,907,Agua Canyon,8900,0.1,1.6,0.0,,,,,1995,Dec,112.26666666666667,37.516666666666666
15,Jan-96,907,Agua Canyon,8900,1.7,1.6,0.9,,,,,1996,Jan,112.26666666666667,37.516666666666666
16,Feb-96,907,Agua Canyon,8900,3.3,3.7,2.8,,,,,1996,Feb,112.26666666666667,37.516666666666666
17,Mar-96,907,Agua Canyon,8900,7.0,1.4,5.2,,,,,1996,Mar,112.26666666666667,37.516666666666666
18,Apr-96,907,Agua Canyon,8900,8.4,0.9,2.4,,,,,1996,Apr,112.26666666666667,37.516666666666666
19,May-96,907,Agua Canyon,8900,9.3,0.7,0.0,,,,,1996,May,112.26666666666667,37.516666666666666
20,Jun-96,907,Agua Canyon,8900,10.0,0.0,0.0,,,,,1996,Jun,112.26666666666667,37.516666666666666
21,Jul-96,907,Agua Canyon,8900,10.0,2.8,0.0,,,,,1996,Jul,112.26666666666667,37.516666666666666
22,Aug-96,907,Agua Canyon,8900,12.8,3.5,0.0,,,,,1996,Aug,112.26666666666667,37.516666666666666
23,Sep-96,907,Agua Canyon,8900,16.3,1.2,0.0,,,,,1996,Sep,112.26666666666667,37.516666666666666
24,Oct-96,907,Agua Canyon,8900,0.0,3.0,0.0,,,,,1996,Oct,112.26666666666667,37.516666666666666
25,Nov-96,907,Agua Canyon,8900,3.0,2.6,1.8,,,,,1996,Nov,112.26666666666667,37.516666666666666
26,Dec-96,907,Agua Canyon,8900,5.6,2.7,0.3,,,,,1996,Dec,112.26666666666667,37.516666666666666
27,Jan-97,907,Agua Canyon,8900,8.3,4.6,3.4,,,,,1997,Jan,112.26666666666667,37.516666666666666
28,Feb-97,907,Agua Canyon,8900,12.9,1.3,7.3,,,,,1997,Feb,112.26666666666667,37.516666666666666
29,Mar-97,907,Agua Canyon,8900,14.2,0.3,8.5,,,,,1997,Mar,112.26666666666667,37.516666666666666
30,Apr-97,907,Agua Canyon,8900,14.5,3.0,2.0,,,,,1997,Apr,112.26666666666667,37.516666666666666
31,May-97,907,Agua Canyon,8900,17.5,0.9,0.0,,,,,1997,May,112.26666666666667,37.516666666666666
32,Jun-97,907,Agua Canyon,8900,18.4,2.1,0.0,,,,,1997,Jun,112.26666666666667,37.516666666666666
33,Jul-97,907,Agua Canyon,8900,20.5,1.5,0.0,,,,,1997,Jul,112.26666666666667,37.516666666666666
34,Aug-97,907,Agua Canyon,8900,22.0,6.1,0.0,,,,,1997,Aug,112.26666666666667,37.516666666666666
35,Sep-97,907,Agua Canyon,8900,28.1,6.4,0.0,,,,,1997,Sep,112.26666666666667,37.516666666666666
36,Oct-97,907,Agua Canyon,8900,0.0,1.0,0.0,,,,,1997,Oct,112.26666666666667,37.516666666666666
37,Nov-97,907,Agua Canyon,8900,1.0,1.4,0.0,,,,,1997,Nov,112.26666666666667,37.516666666666666
38,Dec-97,907,Agua Canyon,8900,2.4,1.8,0.5,,,,,1997,Dec,112.26666666666667,37.516666666666666
39,Jan-98,907,Agua Canyon,8900,4.2,1.6,2.4,,,,,1998,Jan,112.26666666666667,37.516666666666666
40,Feb-98,907,Agua Canyon,8900,5.8,4.0,4.2,,,,,1998,Feb,112.26666666666667,37.516666666666666
41,Mar-98,907,Agua Canyon,8900,9.8,3.6,8.3,,,,,1998,Mar,112.26666666666667,37.516666666666666
42,Apr-98,907,Agua Canyon,8900,13.4,2.4,9.5,,,,,1998,Apr,112.26666666666667,37.516666666666666
43,May-98,907,Agua Canyon,8900,15.8,0.5,4.0,,,,,1998,May,112.26666666666667,37.516666666666666
44,Jun-98,907,Agua Canyon,8900,16.3,1.4,0.0,,,,,1998,Jun,112.26666666666667,37.516666666666666
45,Jul-98,907,Agua Canyon,8900,17.7,4.7,0.0,,,,,1998,Jul,112.26666666666667,37.516666666666666
46,Aug-98,907,Agua Canyon,8900,22.4,3.1,0.0,,,,,1998,Aug,112.26666666666667,37.516666666666666
47,Sep-98,907,Agua Canyon,8900,25.5,6.0,0.0,,,,,1998,Sep,112.26666666666667,37.516666666666666
48,Oct-98,907,Agua Canyon,8900,0.0,4.2,0.0,0.0,,,,1998,Oct,112.26666666666667,37.516666666666666
49,Nov-98,907,Agua Canyon,8900,4.2,2.3,0.2,1.0,,,,1998,Nov,112.26666666666667,37.516666666666666
50,Dec-98,907,Agua Canyon,8900,6.5,1.8,1.8,5.0,,,,1998,Dec,112.26666666666667,37.516666666666666
51,Jan-99,907,Agua Canyon,8900,8.3,0.9,3.4,12.0,,,,1999,Jan,112.26666666666667,37.516666666666666
52,Feb-99,907,Agua Canyon,8900,9.2,1.6,4.4,14.0,,,,1999,Feb,112.26666666666667,37.516666666666666
53,Mar-99,907,Agua Canyon,8900,10.8,0.2,5.2,15.0,,,,1999,Mar,112.26666666666667,37.516666666666666
54,Apr-99,907,Agua Canyon,8900,11.0,4.4,0.0,2.0,,,,1999,Apr,112.26666666666667,37.516666666666666
55,May-99,907,Agua Canyon,8900,15.4,1.2,0.0,4.0,,,,1999,May,112.26666666666667,37.516666666666666
56,Jun-99,907,Agua Canyon,8900,16.6,1.9,0.0,0.0,,,,1999,Jun,112.26666666666667,37.516666666666666
57,Jul-99,907,Agua Canyon,8900,18.5,2.5,0.0,,,,,1999,Jul,112.26666666666667,37.516666666666666
58,Aug-99,907,Agua Canyon,8900,21.0,3.8,0.0,0.0,,,,1999,Aug,112.26666666666667,37.516666666666666
59,Sep-99,907,Agua Canyon,8900,24.8,2.9,0.0,0.0,,,,1999,Sep,112.26666666666667,37.516666666666666
60,Oct-99,907,Agua Canyon,8900,0.0,0.4,0.0,0.0,,,,1999,Oct,112.26666666666667,37.516666666666666
61,Nov-99,907,Agua Canyon,8900,0.4,0.5,0.0,0.0,,,,1999,Nov,112.26666666666667,37.516666666666666
62,Dec-99,907,Agua Canyon,8900,0.9,1.0,0.0,0.0,,,,1999,Dec,112.26666666666667,37.516666666666666
63,Jan-00,907,Agua Canyon,8900,1.9,0.6,0.1,1.0,,,,2000,Jan,112.26666666666667,37.516666666666666
64,Feb-00,907,Agua Canyon,8900,2.5,4.8,0.4,1.0,,,,2000,Feb,112.26666666666667,37.516666666666666
65,Mar-00,907,Agua Canyon,8900,7.3,3.4,4.8,20.0,,,,2000,Mar,112.26666666666667,37.516666666666666
66,Apr-00,907,Agua Canyon,8900,10.7,0.4,6.2,17.0,,,,2000,Apr,112.26666666666667,37.516666666666666
67,May-00,907,Agua Canyon,8900,11.1,0.3,0.0,0.0,,,,2000,May,112.26666666666667,37.516666666666666
68,Jun-00,907,Agua Canyon,8900,11.4,0.8,0.0,0.0,,,,2000,Jun,112.26666666666667,37.516666666666666
69,Jul-00,907,Agua Canyon,8900,12.2,0.4,0.0,0.0,,,,2000,Jul,112.26666666666667,37.516666666666666
70,Aug-00,907,Agua Canyon,8900,12.6,2.3,0.0,0.0,,,,2000,Aug,112.26666666666667,37.516666666666666
71,Sep-00,907,Agua Canyon,8900,14.9,1.0,0.0,0.0,,,,2000,Sep,112.26666666666667,37.516666666666666
72,Oct-00,907,Agua Canyon,8900,0.0,6.9,0.0,0.0,,,,2000,Oct,112.26666666666667,37.516666666666666
73,Nov-00,907,Agua Canyon,8900,6.9,0.8,2.1,12.0,,,,2000,Nov,112.26666666666667,37.516666666666666
74,Dec-00,907,Agua Canyon,8900,7.7,0.5,2.3,9.0,,,,2000,Dec,112.26666666666667,37.516666666666666
75,Jan-01,907,Agua Canyon,8900,8.2,3.9,2.4,12.0,,,,2001,Jan,112.26666666666667,37.516666666666666
76,Feb-01,907,Agua Canyon,8900,12.1,3.1,6.7,32.0,,,,2001,Feb,112.26666666666667,37.516666666666666
77,Mar-01,907,Agua Canyon,8900,15.2,1.9,10.7,41.0,,,,2001,Mar,112.26666666666667,37.516666666666666
78,Apr-01,907,Agua Canyon,8900,17.1,2.7,9.0,22.0,,,,2001,Apr,112.26666666666667,37.516666666666666
79,May-01,907,Agua Canyon,8900,19.8,0.7,0.0,0.0,,,,2001,May,112.26666666666667,37.516666666666666
80,Jun-01,907,Agua Canyon,8900,20.5,0.5,0.0,0.0,,,,2001,Jun,112.26666666666667,37.516666666666666
81,Jul-01,907,Agua Canyon,8900,21.0,2.0,0.0,0.0,,,,2001,Jul,112.26666666666667,37.516666666666666
82,Aug-01,907,Agua Canyon,8900,23.0,2.5,0.0,0.0,,,,2001,Aug,112.26666666666667,37.516666666666666
83,Sep-01,907,Agua Canyon,8900,25.5,0.3,0.0,0.0,,,,2001,Sep,112.26666666666667,37.516666666666666
84,Oct-01,907,Agua Canyon,8900,0.0,0.6,0.0,0.0,,,,2001,Oct,112.26666666666667,37.516666666666666
85,Nov-01,907,Agua Canyon,8900,0.6,1.4,0.0,0.0,,,,2001,Nov,112.26666666666667,37.516666666666666
86,Dec-01,907,Agua Canyon,8900,2.0,1.1,1.0,6.0,,,,2001,Dec,112.26666666666667,37.516666666666666
87,Jan-02,907,Agua Canyon,8900,3.1,0.7,1.8,11.0,,,,2002,Jan,112.26666666666667,37.516666666666666
88,Feb-02,907,Agua Canyon,8900,3.8,0.3,2.4,14.0,,,,2002,Feb,112.26666666666667,37.516666666666666
89,Mar-02,907,Agua Canyon,8900,4.1,1.3,2.5,9.0,,,,2002,Mar,112.26666666666667,37.516666666666666
90,Apr-02,907,Agua Canyon,8900,5.4,1.2,0.0,0.0,,,,2002,Apr,112.26666666666667,37.516666666666666
91,May-02,907,Agua Canyon,8900,6.6,0.2,0.0,0.0,,,,2002,May,112.26666666666667,37.516666666666666
92,Jun-02,907,Agua Canyon,8900,6.8,0.0,0.0,0.0,,,,2002,Jun,112.26666666666667,37.516666666666666
93,Jul-02,907,Agua Canyon,8900,6.8,1.5,0.0,0.0,,,,2002,Jul,112.26666666666667,37.516666666666666
94,Aug-02,907,Agua Canyon,8900,8.3,0.4,0.0,0.0,,,,2002,Aug,112.26666666666667,37.516666666666666
95,Sep-02,907,Agua Canyon,8900,8.7,3.9,0.0,0.0,,,,2002,Sep,112.26666666666667,37.516666666666666
96,Oct-02,907,Agua Canyon,8900,0.0,2.2,0.0,0.0,,,,2002,Oct,112.26666666666667,37.516666666666666
97,Nov-02,907,Agua Canyon,8900,2.2,1.6,0.0,0.0,,,,2002,Nov,112.26666666666667,37.516666666666666
98,Dec-02,907,Agua Canyon,8900,3.8,1.3,0.2,2.0,,,,2002,Dec,112.26666666666667,37.516666666666666
99,Jan-03,907,Agua Canyon,8900,5.1,0.3,1.4,9.0,,,,2003,Jan,112.26666666666667,37.516666666666666
100,Feb-03,907,Agua Canyon,8900,5.4,2.5,1.7,5.0,,,,2003,Feb,112.26666666666667,37.516666666666666
101,Mar-03,907,Agua Canyon,8900,7.9,1.8,4.6,26.0,,,,2003,Mar,112.26666666666667,37.516666666666666
102,Apr-03,907,Agua Canyon,8900,9.7,0.6,2.5,8.0,,,,2003,Apr,112.26666666666667,37.516666666666666
103,May-03,907,Agua Canyon,8900,10.3,1.4,0.0,0.0,,,,2003,May,112.26666666666667,37.516666666666666
104,Jun-03,907,Agua Canyon,8900,11.7,0.5,0.0,0.0,,,,2003,Jun,112.26666666666667,37.516666666666666
105,Jul-03,907,Agua Canyon,8900,12.2,0.4,0.0,0.0,,,,2003,Jul,112.26666666666667,37.516666666666666
106,Aug-03,907,Agua Canyon,8900,12.6,1.0,0.0,0.0,,,,2003,Aug,112.26666666666667,37.516666666666666
107,Sep-03,907,Agua Canyon,8900,13.6,0.8,0.0,0.0,,,,2003,Sep,112.26666666666667,37.516666666666666
108,Oct-03,907,Agua Canyon,8900,0.0,0.8,0.0,0.0,,,,2003,Oct,112.26666666666667,37.516666666666666
109,Nov-03,907,Agua Canyon,8900,0.8,1.8,0.0,0.0,,,,2003,Nov,112.26666666666667,37.516666666666666
110,Dec-03,907,Agua Canyon,8900,2.6,2.9,0.4,2.0,,,,2003,Dec,112.26666666666667,37.516666666666666
111,Jan-04,907,Agua Canyon,8900,5.5,0.8,4.3,20.0,,,,2004,Jan,112.26666666666667,37.516666666666666
112,Feb-04,907,Agua Canyon,8900,6.3,5.3,5.3,23.0,,,,2004,Feb,112.26666666666667,37.516666666666666
113,Mar-04,907,Agua Canyon,8900,11.6,0.7,10.9,50.0,,,,2004,Mar,112.26666666666667,37.516666666666666
114,Apr-04,907,Agua Canyon,8900,12.3,3.0,2.2,8.0,,,,2004,Apr,112.26666666666667,37.516666666666666
115,May-04,907,Agua Canyon,8900,15.3,0.2,0.0,0.0,,,,2004,May,112.26666666666667,37.516666666666666
116,Jun-04,907,Agua Canyon,8900,15.5,0.5,0.0,0.0,,,,2004,Jun,112.26666666666667,37.516666666666666
117,Jul-04,907,Agua Canyon,8900,16.0,4.5,0.0,0.0,,,,2004,Jul,112.26666666666667,37.516666666666666
