,Data sites,Longitude,Latitude,Site ID
0,#	SNOTEL 907: Agua Canyon	 UT,112.26666666666667,37.516666666666666,907
1,#	SNOTEL 992: Bear River RS	 UT,110.83333333333333,40.88333333333333,992
2,#	SNOTEL 329: Beaver Dams	 UT,111.55,39.13333333333333,329
3,#	SNOTEL 330: Beaver Divide	 UT,111.1,40.61666666666667,330
4,#	SNOTEL 332: Ben Lomond Peak	 UT,111.95,41.38333333333333,332
5,#	SNOTEL 333: Ben Lomond Trail	 UT,111.91666666666667,41.38333333333333,333
6,#	SNOTEL 1214: Bevans Cabin	 UT,112.25,40.46666666666667,1214
7,#	SNOTEL 339: Big Flat	 UT,112.35,38.3,339
8,#	SNOTEL 348: Black Flat-U.M. Ck	 UT,111.6,38.68333333333333,348
9,#	SNOTEL 1162: Blacks Fork Jct	 UT,110.58333333333333,40.95,1162
10,#	SNOTEL 1278: Bobs Hollow	 UT,112.15,38.95,1278
11,#	SNOTEL 364: Box Creek	 UT,112.01666666666667,38.5,364
12,#	SNOTEL 1156: Box Springs	 UT,112.0,38.5,1156
13,#	SNOTEL 1154: Brian Head	 UT,112.85,37.68333333333333,1154
14,#	SNOTEL 366: Brighton	 UT,111.58333333333333,40.6,366
15,#	SNOTEL 368: Brown Duck	 UT,110.58333333333333,40.583333333333336,368
16,#	SNOTEL 371: Buck Flat	 UT,111.43333333333334,39.13333333333333,371
17,#	SNOTEL 1192: Buck Pasture	 UT,110.66666666666667,40.85,1192
18,#	SNOTEL 1153: Buckboard Flat	 UT,109.45,37.86666666666667,1153
19,#	SNOTEL 374: Bug Lake	 UT,111.41666666666667,41.68333333333333,374
20,#	SNOTEL 1135: Burts Miller Ranch	 UT,110.85,40.983333333333334,1135
21,#	SNOTEL 383: Camp Jackson	 UT,109.48333333333333,37.81666666666667,383
22,#	SNOTEL 1039: Cascade Mountain	 UT,111.61666666666666,40.28333333333333,1039
23,#	SNOTEL 390: Castle Valley	 UT,112.73333333333333,37.666666666666664,390
24,#	SNOTEL 392: Chalk Creek #1	 UT,111.05,40.85,392
25,#	SNOTEL 393: Chalk Creek #2	 UT,111.06666666666666,40.88333333333333,393
26,#	SNOTEL 396: Chepeta	 UT,110.01666666666667,40.766666666666666,396
27,#	SNOTEL 983: Clayton Springs	 UT,111.83333333333333,37.96666666666667,983
28,#	SNOTEL 399: Clear Creek #1	 UT,111.28333333333333,39.86666666666667,399
29,#	SNOTEL 400: Clear Creek #2	 UT,111.25,39.9,400
30,#	SNOTEL 1236: Corral	 UT,110.38333333333334,39.65,1236
31,#	SNOTEL 432: Currant Creek	 UT,111.08333333333333,40.35,432
32,#	SNOTEL 435: Daniels-Strawberry	 UT,111.25,40.3,435
33,#	SNOTEL 444: Dills Camp	 UT,111.46666666666667,39.05,444
34,#	SNOTEL 452: Donkey Reservoir	 UT,111.46666666666667,38.21666666666667,452
35,#	SNOTEL 455: Dry Bread Pond	 UT,111.53333333333333,41.416666666666664,455
36,#	SNOTEL 906: Dry Fork	 UT,112.16666666666667,40.56666666666667,906
37,#	SNOTEL 461: East Willow Creek	 UT,109.53333333333333,39.31666666666667,461
